GEO_Group,File_ID,GEO_Label
Agilent_84702_PhotoProduct_Antibody,CPD_WC_ID42,CPD_NonUV_r1
Agilent_84702_PhotoProduct_Antibody,CPD_WC_ID43,CPD_NonUV_r2
Agilent_84702_PhotoProduct_Antibody,CPD_UV_ID44,CPD_UV_r1
Agilent_84702_PhotoProduct_Antibody,CPD_UV_ID45,CPD_UV_r2
Agilent_84702_PhotoProduct_Antibody,64PP_WC_ID46,64PP_NonUV_r1
Agilent_84702_PhotoProduct_Antibody,64PP_WC_ID47,64PP_NonUV_r2
Agilent_84702_PhotoProduct_Antibody,64PP_UV_ID48,64PP_UV_r1
Agilent_84702_PhotoProduct_Antibody,64PP_UV_ID49,64PP_UV_r2
Agilent_84702_Proteins,ETS1_WC_ID6,ETS1_NonUV
Agilent_84702_Proteins,ETS1_UV_ID7,ETS1_UV
Agilent_84702_Proteins,MYC_WC_ID14,MYC_NonUV
Agilent_84702_Proteins,MYC_UV_ID15,MYC_UV
Agilent_85400_Proteins,GATA1_WC_ID12,GATA1_NonUV
Agilent_85400_Proteins,GATA1_UV_ID13,GATA1_UV
Agilent_85400_Proteins,P53_WC_ID16,P53_NonUV
Agilent_85400_Proteins,P53_UV_ID17,P53_UV
Agilent_85438_Proteins,CREB1_WC_ID0,CREB1_NonUV
Agilent_85438_Proteins,CREB1_UV_ID1,CREB1_UV
Agilent_85438_Proteins,EGR1_WC_ID2,EGR1_NonUV
Agilent_85438_Proteins,EGR1_UV_ID3,EGR1_UV
Agilent_85438_Proteins,ELK1_WC_ID4,ELK1_NonUV
Agilent_85438_Proteins,ELK1_UV_ID5,ELK1_UV
Agilent_85438_Proteins,ETS1_WC_ID8,ETS1_NonUV_r1
Agilent_85438_Proteins,ETS1_WC_ID9,ETS1_NonUV_r2
Agilent_85438_Proteins,ETS1_UV_ID10,ETS1_UV_r1
Agilent_85438_Proteins,ETS1_UV_ID11,ETS1_UV_r2
Agilent_85438_Proteins,STAT3_WC_ID19,STAT3_NonUV
Agilent_85438_Proteins,STAT3_UV_ID21,STAT3_UV
Agilent_85438_Proteins,TBP_WC_ID26,TBP_NonUV
Agilent_85438_Proteins,TBP_UV_ID27,TBP_UV
Agilent_85438_Proteins,UVDDB_UV_ID24,UVDDB
Agilent_85438_Proteins,UVDDBETS1_UV_ID25,UVDDB_ETS1
Agilent_86684_Proteins,CREB1_WC_ID38,CREB1_NonUV
Agilent_86684_Proteins,CREB1_UV_ID39,CREB1_UV
Agilent_86684_Proteins,EGR1_WC_ID40,EGR1_NonUV
Agilent_86684_Proteins,EGR1_UV_ID41,EGR1_UV
Agilent_86684_Proteins,MITF_WC_ID36,MITF_NonUV
Agilent_86684_Proteins,MITF_UV_ID37,MITF_UV
Agilent_86688_PhotoProduct_Antibody,CPD_WC_ID32,CPD_NonUV
Agilent_86688_PhotoProduct_Antibody,CPD_UV_ID33,CPD_UV
Agilent_86688_PhotoProduct_Antibody,64PP_WC_ID34,64PP_NonUV
Agilent_86688_PhotoProduct_Antibody,64PP_UV_ID35,64PP_UV
Agilent_86688_Proteins,UVDDB_WC_ID28,UVDDB_NonUV_r1
Agilent_86688_Proteins,UVDDB_WC_ID29,UVDDB_NonUV_r2
Agilent_86688_Proteins,UVDDB_UV_ID30,UVDDB_UV_r1
Agilent_86688_Proteins,UVDDB_UV_ID31,UVDDB_UV_r2
